Date,Open,High,Low,Close,Adj Close,Volume
8/16/2019,2864.74,2893.63,2864.74,2888.68,2888.68,3498150000.00
8/19/2019,2913.48,2931.00,2913.48,2923.65,2923.65,3212880000.00
8/20/2019,2919.01,2923.63,2899.60,2900.51,2900.51,3066300000.00
8/21/2019,2922.04,2928.73,2917.91,2924.43,2924.43,3011190000.00
8/22/2019,2930.94,2939.08,2904.51,2922.95,2922.95,2890880000.00
8/23/2019,2911.07,2927.01,2834.97,2847.11,2847.11,3937300000.00
8/26/2019,2866.70,2879.27,2856.00,2878.38,2878.38,2857600000.00
8/27/2019,2893.14,2898.79,2860.59,2869.16,2869.16,3533630000.00
8/28/2019,2861.28,2890.03,2853.05,2887.94,2887.94,3097420000.00
8/29/2019,2910.37,2930.50,2905.67,2924.58,2924.58,3176190000.00
8/30/2019,2937.09,2940.43,2913.32,2926.46,2926.46,3008450000.00
3/9/2019,2909.01,2914.39,2891.85,2906.27,2906.27,3426790000.00
4/9/2019,2924.67,2938.84,2921.86,2937.78,2937.78,3163260000.00
5/9/2019,2960.60,2985.86,2960.60,2976.00,2976.00,3890700000.00
6/9/2019,2980.33,2985.03,2972.51,2978.71,2978.71,3208280000.00
9/9/2019,2988.43,2989.43,2969.39,2978.43,2978.43,4002890000.00
10/9/2019,2971.01,2979.39,2957.01,2979.39,2979.39,4390770000.00
11/9/2019,2981.41,3000.93,2975.31,3000.93,3000.93,3927550000.00
12/9/2019,3009.08,3020.74,3000.92,3009.57,3009.57,3791860000.00
9/13/2019,3012.21,3017.33,3002.90,3007.39,3007.39,3520060000.00
9/16/2019,2996.41,3002.19,2990.67,2997.96,2997.96,4274640000.00
9/17/2019,2995.67,3006.21,2993.73,3005.70,3005.70,3671840000.00
9/18/2019,3001.50,3007.83,2978.57,3006.73,3006.73,3435540000.00
9/19/2019,3010.36,3021.99,3003.16,3006.79,3006.79,3251290000.00
9/20/2019,3008.42,3016.37,2984.68,2992.07,2992.07,6094740000.00
9/23/2019,2983.50,2999.15,2982.23,2991.78,2991.78,3186590000.00
9/24/2019,3002.43,3007.98,2957.73,2966.60,2966.60,3868160000.00
9/25/2019,2968.35,2989.82,2952.86,2984.87,2984.87,3318870000.00
9/26/2019,2985.73,2987.28,2963.71,2977.62,2977.62,3077240000.00
9/27/2019,2985.47,2987.31,2945.53,2961.79,2961.79,3243650000.00
9/30/2019,2967.07,2983.85,2967.07,2976.74,2976.74,3247610000.00
1/10/2019,2983.69,2992.53,2938.70,2940.25,2940.25,3558040000.00
2/10/2019,2924.78,2924.78,2874.93,2887.61,2887.61,3912520000.00
3/10/2019,2885.38,2911.13,2855.94,2910.63,2910.63,3503640000.00
4/10/2019,2918.56,2953.74,2918.56,2952.01,2952.01,2990830000.00
7/10/2019,2944.23,2959.75,2935.68,2938.79,2938.79,2940140000.00
